"DRGKode";"DRGNavn";"Kostnadsvekt";"TrimpunktØvre";"ProsedyreinnholdsType";"DRGBasispoeng";"HDGKode";"ErGyldigForSekundærRehabilitering";"DRGTjenestetype";"ErGyldigForPoengtilleggAmbulantBehandling";"DRG_CCNivå";"DRG_CCGruppe";"ErSomatikk"
"4";"Op på kolumna/spinalkanal/ryggmarg/nerverøtter";4.230;29;"K";4.230;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"5";"Operasjoner på ekstrakranielle kar";3.288;20;"K";3.288;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"6";"Operasjoner ved karpaltunnelsyndrom";1.235;5;"K";0.189;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"7";"Perifere, hjerne- og andre nerveop m/bk";3.327;31;"K";3.327;1;0;"Ordinære innleggelser med overnatting";0;1;"7_8";"Ja"
"8";"Perifere, hjerne- og andre nerveop u/bk";1.817;10;"K";1.817;1;0;"Ordinære innleggelser med overnatting";0;0;"7_8";"Ja"
"9";"Sykdommer i og skader på ryggmargen";1.309;14;"M";1.309;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"10";"Svulster i nervesystemet m/bk";1.752;20;"M";1.752;1;0;"Ordinære innleggelser med overnatting";0;1;"10_11";"Ja"
"11";"Svulster i nervesystemet u/bk";1.220;14;"M";1.220;1;0;"Ordinære innleggelser med overnatting";0;0;"10_11";"Ja"
"12";"Degenerative sykdommer i nervesystemet";1.373;12;"M";1.373;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"13";"Multippel sklerose og cerebellar ataksi";1.059;11;"M";1.059;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"15";"TIA og okklusjon av precerebrale arterier";0.733;6;"M";0.733;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
