"STGKode";"STGNavn";"Periode";"HDGKode";"STGBasispoeng";"STGGruppeKode";"STGGruppeNavn";"Kostnadsvekt"
"AS01";"Pasientadministrert legemiddelbehandling ved nevrologiske lidelser";"År";1;2.680;200;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 0";2.680
"AS02";"Oppfølging og monitorering av pasienter med epilepsi basert på Patient Reported Outcome (PRO)";"Tertial";1;0.021;551;"Digitale tjenester for oppfølging av pasienter med kroniske tilstander - 1";0.021
"CS01";"Telemedisinsk oppfølging av pasienter med søvnapné som bruker CPAP";"Tertial";3;0.018;501;"Telemedisinsk oppfølging - 1";0.018
"DS01";"Pasientadministrert legemiddelbehandling ved behandling av lungekreft";"År";4;4.255;307;"Pasientadministrert legemiddelbehandling for kreft - 7";4.255
"DS02";"Pasientadministrert legemiddelbehandling ved alvorlig astma";"År";4;1.325;205;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 5";1.325
"ES01";"Telemedisinsk oppfølging av pasienter med pacemaker/ ICD";"Tertial";5;0.021;502;"Telemedisinsk oppfølging - 2";0.021
"ES02";"Pasientadministrert legemiddelbehandling ved pulmonal arteriell hypertensjon (PAH)";"År";5;5.745;207;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 7";5.745
"FS01";"Pasientadministrert legemiddelbehandling ved mage-/tarm lidelser";"År";6;0.479;200;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 0";0.479
"FS02";"Pasientadministrert legemiddelbehandling ved behandling av kreft i fordøyelsesorgan";"År";6;1.630;308;"Pasientadministrert legemiddelbehandling for kreft - 8";1.630
"GS01";"Pasientadministrert legemiddelbehandling ved hepatitt C-infeksjon";"År";7;0.908;201;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 1";0.908
"GS02";"Pasientadministrert legemiddelbehandling ved behandling av kreft i lever, galleveier og bukspyttkjertel ";"År";7;1.825;309;"Pasientadministrert legemiddelbehandling for kreft - 9";1.825
"GS03";"Pasientadministrert legemiddelbehandling ved hepatitt B-infeksjon og annen virushepatitt";"ÅR";7;0.254;201;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 1";0.254
"HS01";"Pasientadministrert legemiddelbehandling ved revmatologiske lidelser";"År";8;0.577;200;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 0";0.577
"HS02";"Oppfølging og monitorering av pasienter med revmatologiske lidelser basert på Patient Reported Outcome (PRO)";"Tertial";8;0.020;552;"Digitale tjenester for oppfølging av pasienter med kroniske tilstander - 2";0.020
"JS01";"Pasientadministrert legemiddelbehandling ved hudlidelser";"År";9;0.774;200;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 0";0.774
"JS02";"Pasientadministrert legemiddelbehandling ved malignt melanom";"År";9;5.096;301;"Pasientadministrert legemiddelbehandling for kreft - 1";5.096
"JS03";"Asynkron telemedisinsk oppfølging og behandling av pasienter med kroniske sår";"Måned";9;0.014;503;"Telemedisinsk oppfølging - 3";0.014
"KS01";"Pasientadministrert legemiddelbehandling ved brystkreft";"År";30;2.525;310;"Pasientadministrert legemiddelbehandling for kreft - 10";2.525
"LS01";"Pasientadministrert legemiddelbehandling ved veksthormonmangel";"År";10;0.549;202;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 2";0.549
"LS02";"Pasientadministrert legemiddelbehandling ved veksthormonoverskudd";"År";10;2.433;208;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 8";2.433
"MS01";"Pasientadministrert peritonealdialyse";"Måned";11;0.618;100;"Pasientadministrert dialysebehandling";0.618
"MS02";"Pasientadministrert hemodialyse";"Måned";11;0.710;100;"Pasientadministrert dialysebehandling";0.710
"MS03";"Pasientadministrert legemiddelbehandling ved kreft i nyre og urinveier";"År";11;3.909;311;"Pasientadministrert legemiddelbehandling for kreft - 11";3.909
"NS01";"Pasientadministrert legemiddelbehandling ved kreft i mannlige kjønnsorgan";"År";12;2.475;302;"Pasientadministrert legemiddelbehandling for kreft - 2";2.475
"OS01";"Pasientadministrert legemiddelbehandling ved kreft i kvinnelige kjønnsorgan";"År";13;5.800;303;"Pasientadministrert legemiddelbehandling for kreft - 3";5.800
"RS01";"Pasientadministrert legemiddelbehandling ved blodkreft (follikulært lymfom, kronisk lymfatisk leukemi) ";"År";17;4.516;304;"Pasientadministrert legemiddelbehandling for kreft - 4";4.516
"RS02";"Pasientadministrert legemiddelbehandling med blodkoagulasjonsfaktorer";"År";16;16.951;203;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 3";16.951
"RS03";"Pasientadministrert legemiddelbehandling med immunstimulerende legemidler";"År";16;0.083;305;"Pasientadministrert legemiddelbehandling for kreft - 5";0.083
"RS04";"Pasientadministrert legemiddelbehandling med anemilegemidler";"År";16;0.215;204;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 4";0.215
"SS01";"Pasientadministrert legemiddelbehandling for behandling og forebygging av HIV";"År";18;1.024;206;"Pasientadministrert legemiddelbehandling for non-maligne tilstander - 6";1.024
"TS01";"Behandling og oppfølging gjennom ACT-team eller lignende ambulante oppsøkende behandlingsteam";"Måned";19;0.752;601;"Psykisk helsevern og TSB - Spesielle teamoppfølgingstilbud";0.752
"TS02";"Nettbasert behandlingsprogram";"Tertial";19;1.401;602;"Psykisk helsevern og TSB - Nettbasert behandling";1.401
"TS03";"Kontinuerlig legemiddelbehandling som ledd i LAR";"Tertial";19;0.267;603;"Psykisk helsevern og TSB - LAR";0.267
"TS04";"Oppfølging og monitorering av pasienter med angst og tvangslidelser basert på Patient Reported Outcome (PRO)";"Tertial";19;0.160;554;"Digitale tjenester for oppfølging av pasienter med kroniske tilstander - 4";0.160
"TS05";"Oppfølging og monitorering av pasienter med andre psykiske og rusrelaterte lidelser basert på Patient Reported Outcome (PRO)";"Tertial";19;0.120;555;"Digitale tjenester for oppfølging av pasienter med kroniske tilstander - 5";0.120
"TS06";"Fjernmonitorering og asynkron telemedisinsk oppfølging av pasienter med andre psykiske og rusrelaterte lidelser";"Tertial";19;0.120;505;"Telemedisinsk oppfølging - 5";0.120
"XS02";"Pasientadministrert legemiddelbehandling ved andre kreftformer ";"År";40;0.951;312;"Pasientadministrert legemiddelbehandling for kreft - 12";0.951
"XS03";"Pasientadministrert legemiddelbehandling med mindre kostbare kreftlegemidler";"År";40;0.085;313;"Pasientadministrert legemiddelbehandling for kreft - 13";0.085
